key,team,kind,class,supportType,label,weapon,secondaryWeapon,hp,speed,size,sight,rotationSpeed,cost,color,driveType,armor_front,armor_side,armor_rear,turret_speed,turret_accel,hullTurnAccel,crew,year,rwm_ref,w_type,w_fire,w_range,w_damage,w_cooldown,w_accuracy,w_supp,w_pen,w_blast
american_sherm_3_2,american,sherman_flame,vehicle,,M4 Sherman I (75mm M3 & Flamethrower),rwm_american_sherm_3_2,,450,4.13,0.9,8,1.4,9,#5d6b4a,tracked,50,43,35,3,1.5,0.9,5,1942,M4 Sherman I (75mm M3 & Flamethrower),cannon,direct,54,450,4.25,0.8,12,150,0
american_sh105,american,sherman_105mm,vehicle,,M4(105)HVSS Sherman IBY (105mm Howi. L/23),rwm_american_sh105,,456,4.13,0.9,8,1.4,9,#5d6b4a,tracked,50,43,35,3,1.5,0.9,5,1942,M4(105)HVSS Sherman IBY (105mm Howi. L/23),cannon,direct,64,450,2.5,0.8,12,180,0
american_m4a4,american,m4a1_76_w,vehicle,,M4A1(76)W Sherman IIA (76mm M1A1 L/55),rwm_american_m4a4,,459,4.13,0.9,8,1.4,9,#5d6b4a,tracked,50,43,35,3,1.5,0.9,6,1942,M4A1(76)W Sherman IIA (76mm M1A1 L/55),cannon,direct,58,450,4.5,0.8,12,180,0
american_m4a2_76w,american,m4a2_76_w,vehicle,,M4A2(76)W Sherman IIIA (76mm M1A1 L/55),rwm_american_m4a2_76w,,459,5.28,0.9,8,1.4,9,#5d6b4a,tracked,160,136,112,3,1.5,0.9,5,1942,M4A2(76)W Sherman IIIA (76mm M1A1 L/55),cannon,direct,58,450,4.5,0.8,12,180,0
american_sherm_5,american,sherman_iv,vehicle,,M4A3 Sherman IV  (75mm Gun M3),rwm_american_sherm_5,,450,5.31,0.9,8,1.4,9,#5d6b4a,tracked,50,43,35,3,1.5,0.9,5,1942,M4A3 Sherman IV  (75mm Gun M3),cannon,direct,54,450,4.5,0.8,12,150,0
american_m4a3e2,american,jumbo,vehicle,,M4A3E2 Sherman Jumbo (75mm m3 l/40),rwm_american_m4a3e2,,456,3.93,0.9,8,1.4,9,#5d6b4a,tracked,75,64,53,3,1.5,0.9,5,1942,M4A3E2 Sherman Jumbo (75mm m3 l/40),cannon,direct,54,450,4.25,0.8,12,150,0
american_m4a3e8,american,easy_8,vehicle,,M4A3E8 Sherman Easy8 (76mm m1a2 l/52),rwm_american_m4a3e8,,450,5.28,0.9,8,1.4,9,#5d6b4a,tracked,75,64,53,3,1.5,0.9,5,1942,M4A3E8 Sherman Easy8 (76mm m1a2 l/52),cannon,direct,58,450,4.5,0.8,12,180,0
american_stewart,american,m5a1_stuart,vehicle,,M5A1 Stuart IV (37mm Gun M6 L/57),rwm_american_stewart,,150,6.11,0.9,14,1.4,4,#5d6b4a,tracked,63,54,44,3,1.5,0.9,4,1942,M5A1 Stuart IV (37mm Gun M6 L/57),cannon,direct,52,110,2.2,0.8,12,33,0
american_m6,american,m8,vehicle,,M8 75mm M2 Howitzer Motor Carriage,rwm_american_m6,,150,6.11,0.9,8,1.4,4,#5d6b4a,tracked,63,54,44,3,1.5,0.9,4,1942,M8 75mm M2 Howitzer Motor Carriage,cannon,direct,64,450,2.5,0.8,12,180,0
british_94mm_aa,british,94mm_aa,support,,3.70'' (94mm) Ordnance QF AA Mk.II L/45,rwm_british_94mm_aa,,360,0.6,0.65,20,4,7,#4f5a3e,,40,34,28,3,1.5,,,1939,3.70'' (94mm) Ordnance QF AA Mk.II L/45,aa,direct,90,450,2.5,0.72,18,180,0
british_bofors_40mm,british,bofors_aa,support,,40mm Ordnance QF Bofors L/56 AA-GUN,rwm_british_bofors_40mm,,180,0.6,0.65,20,4,4,#4f5a3e,,40,34,28,3,1.5,,,1939,40mm Ordnance QF Bofors L/56 AA-GUN,aa,direct,90,140,0.5,0.72,18,42,0
british_aa_mk_i,british,crusader_i_aa,support,,A15 Crusader Mk. I AA (40mm Bofors Mk.I),rwm_british_aa_mk_i,,180,4.95,0.65,17,4,4,#4f5a3e,,25,21,18,3,1.5,,4,1939,A15 Crusader Mk. I AA (40mm Bofors Mk.I),aa,direct,55,140,0.3,0.72,18,42,0
british_aa_mk_ii,british,crusader_ii_aa,support,,A15 Crusader Mk. II AA (2x20mm Oerlikon),rwm_british_aa_mk_ii,,180,4.95,0.65,17,4,4,#4f5a3e,,25,21,18,3,1.5,,4,1939,A15 Crusader Mk. II AA (2x20mm Oerlikon),aa,direct,51,65,0.3,0.72,18,20,0
british_e_aatruck,british,chevrolet_lrdg_aa_truck_2x0_50_vickers_m,support,,Chevrolet LRDG AA-truck (2x0.50 Vickers MG),rwm_british_e_aatruck,,72,8.25,0.65,19,4,2,#4f5a3e,,12,10,8,3,1.5,,3,1939,Chevrolet LRDG AA-truck (2x0.50 Vickers MG),aa,direct,44,80,0.3,0.72,18,24,0
british_carrier,british,carrier,vehicle,,"Bren Carrier (7,62mm Bren MG)",rwm_british_carrier,,60,5.91,0.9,19,1.4,2,#4f5a3e,tracked,20,17,14,3,1.5,0.9,2,1940,"Bren Carrier (7,62mm Bren MG)",gun,direct,41,60,0.3,0.68,8,18,0
british_carrier_2,british,carrierflame,vehicle,,Bren Carrier (Flamethrower & Piat),rwm_british_carrier_2,,120,5.91,0.9,19,1.4,3,#4f5a3e,tracked,20,17,14,3,1.5,0.9,2,1940,Bren Carrier (Flamethrower & Piat),gun,direct,23,70,0.3,0.68,8,21,0
british_daimler_mk_i,british,dingo,vehicle,,Daimler Dingo Mk.I (2-Pdr (40mm) L/50),rwm_british_daimler_mk_i,,162,9,0.9,18,1.4,4,#4f5a3e,tracked,30,26,21,3,1.5,0.9,2,1940,Daimler Dingo Mk.I (2-Pdr (40mm) L/50),gun,direct,52,110,3.25,0.68,8,33,0
british_humer_agit,british,humber_mk_iv,vehicle,,Humber Armored Car Mk.IV (37mm M6 L/57),rwm_british_humer_agit,,162,9,0.9,18,1.4,4,#4f5a3e,tracked,30,26,21,3,1.5,0.9,3,1940,Humber Armored Car Mk.IV (37mm M6 L/57),gun,direct,52,110,3.25,0.68,8,33,0
british_funt17,british,17_pdr,support,,17-Pounder (76mm) Ordnance QF Mk.I L/55,,,270,0.6,0.65,20,4,6,#4f5a3e,,40,34,28,,,,,1940,17-Pounder (76mm) Ordnance QF Mk.I L/55,at,none,,,,,,,
british_2pdr,british,2_pdr,support,,2-Pounder(40mm) Ordnance QF Mk.IX L/50,,,240,1.62,0.65,20,4,5,#4f5a3e,,40,34,28,,,,,1940,2-Pounder(40mm) Ordnance QF Mk.IX L/50,at,none,,,,,,,
british_6pdr,british,6_pdr,support,,6-Pounder(57mm) Ordnance QF Mk.II L/43,,,270,1.25,0.65,20,4,6,#4f5a3e,,40,34,28,,,,,1942,6-Pounder(57mm) Ordnance QF Mk.II L/43,at,none,,,,,,,
british_efaus,british,p_i_a_t,support,,British private (AT Rocket PIAT 77mm),rwm_british_efaus,,42,1.55,0.65,20,4,2,#4f5a3e,,100,85,70,,,,,1940,British private (AT Rocket PIAT 77mm),at,direct,38,450,6,0.82,10,180,0
british_efaus_2,british,p_i_a_t,support,,Paratrooper (AT Rocket PIAT 77mm),rwm_british_efaus_2,,60,2.64,0.65,20,4,2,#4f5a3e,,100,85,70,,,,,1940,Paratrooper (AT Rocket PIAT 77mm),at,direct,38,450,6,0.82,10,180,0
british_humber_mk_i,british,uk_aec,vehicle,,AEC armoured command vehicle,,,72,8.91,0.9,14,3,2,#4f5a3e,wheeled,14,12,10,,,2.5,2,1939,AEC armoured command vehicle,gun,none,,,,,,,
british_daimler_mk_ii,british,dingo_mk_ii,vehicle,,Daimler Dingo Mk. II recon car,,,66,9,0.9,25,3,2,#4f5a3e,wheeled,16,14,11,,,2.5,2,1939,Daimler Dingo Mk. II recon car,gun,none,,,,,,,
british_japan_motik,british,norton,vehicle,,Norton 16H Big Four (1x Bren MG Mk.I),rwm_british_japan_motik,,30,9,0.9,25,3,2,#4f5a3e,wheeled,20,17,14,,,2.5,2,1939,Norton 16H Big Four (1x Bren MG Mk.I),gun,direct,47,55,0.3,0.68,8,17,0
british_pilot,british,uk_pilot,infantry,,British PILOT (Enfield No.2 Mk.I),rwm_british_pilot,,60,1.98,0.5,18,8,2,#4f5a3e,,0,0,0,,,,,1939,British PILOT (Enfield No.2 Mk.I),gun,direct,32,60,0.73,0.68,8,0,0
british_ecrew,british,gb_crew,infantry,,British crew (9mm Sten SMG),rwm_british_ecrew,,30,1.65,0.5,18,8,2,#4f5a3e,,0,0,0,,,,,1939,British crew (9mm Sten SMG),gun,direct,32,40,0.3,0.68,8,0,0
british_machgun,british,uk_hmg_vickers,support,,UK heavy MG (Vickers Mk.V cal.50),,,30,1.65,0.65,19,4,2,#4f5a3e,,0,0,0,,,,,1939,UK heavy MG (Vickers Mk.V cal.50),gun,none,,,,,,,
british_albion_truck,british,albion,support,supply,Albion BY3N 6x4 3-ton,,,144,8.58,0.65,12,4,3,#4f5a3e,,0,0,0,,,,2,1939,Albion BY3N 6x4 3-ton,gun,none,,,,,,,
british_bedford_qld,british,bedford,support,supply,Bedford truck QLD,,,144,8.58,0.65,12,4,3,#4f5a3e,,0,0,0,,,,2,1939,Bedford truck QLD,gun,none,,,,,,,
british_br_2598_so_da,british,uk_medic_truck,support,supply,Ford WOT6 (mobile hospital),,,114,8.58,0.65,12,4,3,#4f5a3e,,0,0,0,,,,2,1939,Ford WOT6 (mobile hospital),gun,none,,,,,,,
british_morris_truck,british,morris,support,supply,Morris Artillery Tractor C8 4x4 4-tons,,,144,8.58,0.65,12,4,3,#4f5a3e,,0,0,0,,,,2,1939,Morris Artillery Tractor C8 4x4 4-tons,gun,none,,,,,,,
british_funt25,british,25_pdr,support,,25-Pounder Ordnance QF Mk.II L/28,,,78,0.6,0.65,20,4,2,#4f5a3e,,0,0,0,,,,,1939,25-Pounder Ordnance QF Mk.II L/28,mortar,none,,,,,,,
british_5_5_howitzer,british,5_5_inch,support,,5.5 inch Ordnance BL Mk.III L/30,,,300,0.6,0.65,20,4,6,#4f5a3e,,0,0,0,,,,,1941,5.5 inch Ordnance BL Mk.III L/30,mortar,none,,,,,,,
british_bishop,british,bishop,support,,Bishop Mk.I (25pdr OQF Mk.III L/28),rwm_british_bishop,,390,2.97,0.65,8,4,8,#4f5a3e,,0,0,0,,,,4,1941,Bishop Mk.I (25pdr OQF Mk.III L/28),mortar,indirect,76,450,6,0.5,16,0,38
british_sexton,british,sexton,support,,"Sexton Mk.II (25 pounder OQF L/28,8)",,,390,3.63,0.65,10,4,8,#4f5a3e,,0,0,0,,,,6,1939,"Sexton Mk.II (25 pounder OQF L/28,8)",mortar,none,,,,,,,
british_p_g3m,british,beaufighter,aircraft,,Bristol Beaufighter F MK IV (Bomber),,,480,9,0.65,10,4,9,#4f5a3e,,0,0,0,,,,1,1940,Bristol Beaufighter F MK IV (Bomber),gun,none,,,,,,,
british_p_audax,british,uk_gladiator,aircraft,,Gloster Gladiator (Recon-Plane),,,90,9,0.65,10,4,3,#4f5a3e,,0,0,0,,,,1,1940,Gloster Gladiator (Recon-Plane),gun,none,,,,,,,
british_p_hurrican,british,uk_hurricane,aircraft,,Hawker Huricane Mk.IV (250Kg Bomb),,,240,9,0.65,10,4,5,#4f5a3e,,0,0,0,,,,1,1940,Hawker Huricane Mk.IV (250Kg Bomb),gun,none,,,,,,,
british_p_hurrican_2,british,uk_hurricane,aircraft,,Hawker Hurricane Mk.IIB (Fighter),,,180,9,0.65,10,4,4,#4f5a3e,,0,0,0,,,,1,1940,Hawker Hurricane Mk.IIB (Fighter),gun,none,,,,,,,
british_p_typhoon,british,typhoon,aircraft,,Hawker Typhoon 1b (8x HVAR Rockets),,,240,9,0.65,10,4,5,#4f5a3e,,0,0,0,,,,1,1940,Hawker Typhoon 1b (8x HVAR Rockets),gun,none,,,,,,,
british_p_mosquito,british,mosquito,aircraft,,MK-IV MOSQUITO-BOMBER,,,690,9,0.65,10,4,12,#4f5a3e,,0,0,0,,,,2,1940,MK-IV MOSQUITO-BOMBER,gun,none,,,,,,,
british_p_spitfire,british,spitfire,aircraft,,SPITFIRE MK-XVIII (FIGHTER),,,240,9,0.65,10,4,5,#4f5a3e,,0,0,0,,,,1,1940,SPITFIRE MK-XVIII (FIGHTER),gun,none,,,,,,,
british_k_katamer1,british,uk_speedboat,ship,,British Speedboat (1x37mm 1x20mm),rwm_british_k_katamer1,,360,6.6,1.6,20,4,7,#4f5a3e,,0,0,0,,,,7,1939,British Speedboat (1x37mm 1x20mm),gun,direct,48,65,0.3,0.68,8,0,0
british_k_erebus4,british,erebus,ship,,"EREBUS, MARINEAUFKLÃRUNGSSCHIFF",,,700,1.65,1.6,12,4,12,#4f5a3e,,0,0,0,,,,28,1939,"EREBUS, MARINEAUFKLÃRUNGSSCHIFF",gun,none,,,,,,,
british_general,british,uk_major,infantry,,Airborne Major (.38 Webley Mk IV),rwm_british_general,,30,1.32,0.5,20,8,2,#4f5a3e,,0,0,0,,,,,1939,Airborne Major (.38 Webley Mk IV),rifle,direct,32,60,0.73,0.62,6,0,0
british_elitsniperg,british,uk_sniper,infantry,,Airborne Marksman (.303 Lee Enfield),rwm_british_elitsniperg,,30,1.65,0.5,21,8,2,#4f5a3e,,0,0,0,,,,,1939,Airborne Marksman (.303 Lee Enfield),rifle,direct,67,114,6,0.62,6,0,0
british_aofice,british,paraoffi,infantry,,Airborne Officer (.38 Webley Mk IV),rwm_british_aofice,,72,2.97,0.5,25,8,2,#4f5a3e,,0,0,0,,,,,1939,Airborne Officer (.38 Webley Mk IV),rifle,direct,32,60,0.73,0.62,6,0,0
british_asergeant,british,uk_para_serg,infantry,,Airborne Sergeant (9mm Sten SMG),rwm_british_asergeant,,72,2.97,0.5,23,8,2,#4f5a3e,,0,0,0,,,,,1939,Airborne Sergeant (9mm Sten SMG),rifle,direct,32,40,0.3,0.62,6,0,0
british_ehmg,british,uk_hmg,infantry,,"British Machinegunner (7.62mm Bren MK.II)
*name British Machinegunner (7.62mm Bren MK.II)
shortname",rwm_british_ehmg,,36,1.98,0.5,20,8,2,#4f5a3e,,0,0,0,,,,,1939,"British Machinegunner (7.62mm Bren MK.II)
*name British Machinegunner (7.62mm Bren MK.II)
shortname",rifle,direct,48,55,0.3,0.62,6,0,0
british_alrusmed,british,uk_medic,infantry,,British Medic (Lee Enfield No.4 Mk.I),rwm_british_alrusmed,,42,1.98,0.5,20,8,2,#4f5a3e,,0,0,0,,,,,1939,British Medic (Lee Enfield No.4 Mk.I),rifle,direct,45,100,2.5,0.62,6,0,0
british_doficer,british,b_officer,infantry,,British Officer (Webley .38 Mk.IV),rwm_british_doficer,,30,1.65,0.5,23,8,2,#4f5a3e,,0,0,0,,,,,1939,British Officer (Webley .38 Mk.IV),rifle,direct,32,60,0.73,0.62,6,0,0
british_engl_sn,british,uk_rifle,infantry,,British Rifleman (Lee Enfield No.4 Mk.I),rwm_british_engl_sn,,30,2.15,0.5,19,8,2,#4f5a3e,,0,0,0,,,,,1939,British Rifleman (Lee Enfield No.4 Mk.I),rifle,direct,43,100,2.5,0.62,6,0,0
british_sapper,british,sapper,infantry,,British Sapper (2x Mines - explosive charges),rwm_british_sapper,,60,1.65,0.5,20,8,2,#4f5a3e,,0,0,0,,,,,1939,British Sapper (2x Mines - explosive charges),rifle,direct,44,100,2.5,0.62,6,0,0
british_asergeant_2,british,uk_serg,infantry,,British Seargeant (9mm Sten MP),rwm_british_asergeant_2,,36,2.15,0.5,23,8,2,#4f5a3e,,0,0,0,,,,,1939,British Seargeant (9mm Sten MP),rifle,direct,32,55,0.3,0.62,6,0,0
british_a_1,british,b_at_para,infantry,,British private (9mm Sten SMG & explosives),rwm_british_a_1,,30,2.15,0.5,20,8,2,#4f5a3e,,0,0,0,,,,,1939,British private (9mm Sten SMG & explosives),rifle,direct,32,90,0.3,0.62,6,0,0
british_engl_avt,british,uk_smg,infantry,,British private (9mm Sten SMG),rwm_british_engl_avt,,30,2.15,0.5,20,8,2,#4f5a3e,,0,0,0,,,,,1939,British private (9mm Sten SMG),rifle,direct,32,55,0.3,0.62,6,0,0
british_datg,british,b_at_rifle,infantry,,British private (Anti-Tank Rifle Boys Mk.I),rwm_british_datg,,30,1.49,0.5,20,8,2,#4f5a3e,,0,0,0,,,,,1939,British private (Anti-Tank Rifle Boys Mk.I),rifle,direct,48,120,5,0.62,6,0,0
british_a_4,british,b_flamer,infantry,,British private (Flamethrower No.2 Lifebuoy),rwm_british_a_4,,45,1.98,0.5,20,8,2,#4f5a3e,,0,0,0,,,,,1939,British private (Flamethrower No.2 Lifebuoy),rifle,direct,15,70,0.3,0.62,6,0,0
british_dm,british,b_mortar,infantry,,British private (ML 2.00 Inch Mortar),rwm_british_dm,,36,1.15,0.5,20,8,2,#4f5a3e,,0,0,0,,,,,1939,British private (ML 2.00 Inch Mortar),rifle,indirect,73,40,3.75,0.62,6,0,3
british_general_2,british,b_colonel,infantry,,Britsih Colonel (Webley .38 Mk.IV),rwm_british_general_2,,30,1.32,0.5,20,8,2,#4f5a3e,,0,0,0,,,,,1939,Britsih Colonel (Webley .38 Mk.IV),rifle,direct,32,60,0.73,0.62,6,0,0
british_aofice_2,british,c_offi,infantry,,Canadian Officer (.38 Webley Mk IV),rwm_british_aofice_2,,30,2.15,0.5,23,8,2,#4f5a3e,,0,0,0,,,,,1939,Canadian Officer (.38 Webley Mk IV),rifle,direct,32,60,0.73,0.62,6,0,0
british_jguner,british,c_rifleman,infantry,,Canadian Rifleman (.303 Lee Enfield No.4),rwm_british_jguner,,30,1.98,0.5,20,8,2,#4f5a3e,,0,0,0,,,,,1939,Canadian Rifleman (.303 Lee Enfield No.4),rifle,direct,44,75,2.5,0.62,6,0,0
british_bpararif,british,red_devil,infantry,,Paratrooper (.303 Lee Enfield No.4),rwm_british_bpararif,,48,2.97,0.5,19,8,2,#4f5a3e,,0,0,0,,,,,1939,Paratrooper (.303 Lee Enfield No.4),rifle,direct,44,100,2.25,0.62,6,0,0
british_a_1_2,british,b_smg_para,infantry,,Paratrooper (9mm Sten SMG & explosives),rwm_british_a_1_2,,72,2.97,0.5,20,8,2,#4f5a3e,,0,0,0,,,,,1939,Paratrooper (9mm Sten SMG & explosives),rifle,direct,32,90,0.3,0.62,6,0,0
british_ehmg_2,british,uk_hmg_para,infantry,,Paratrooper MG-guner (7.62mm Bren MK.II),rwm_british_ehmg_2,,36,1.98,0.5,20,8,2,#4f5a3e,,0,0,0,,,,,1939,Paratrooper MG-guner (7.62mm Bren MK.II),rifle,direct,49,55,0.3,0.62,6,0,0
british_archer,british,archer,vehicle,,Archer Mk.I (17pdr OQF Mk.II L/55),rwm_british_archer,,180,2.64,0.9,8,1.4,4,#4f5a3e,tracked,60,51,42,,,0.9,4,1942,Archer Mk.I (17pdr OQF Mk.II L/55),cannon,direct,67,450,5,0.8,12,180,0
british_church_bp,british,matilda_i,vehicle,,A11 Matilda Mk I (.303 MG Vickers Mk.VI),rwm_british_church_bp,,186,2.47,0.9,8,1.4,4,#4f5a3e,tracked,150,128,105,3,1.5,0.9,2,1940,A11 Matilda Mk I (.303 MG Vickers Mk.VI),cannon,direct,50,60,0.3,0.8,12,18,0
british_church_75,british,churchill_croc,vehicle,,A22 Churchill Croc Mk.IV (75mm & Flamethr),rwm_british_church_75,,540,2.47,0.9,8,1.4,10,#4f5a3e,tracked,79,67,55,3,1.5,0.9,5,1941,A22 Churchill Croc Mk.IV (75mm & Flamethr),cannon,direct,55,450,4.25,0.8,12,150,0
british_churchill_mine,british,churchill,vehicle,,A22 Churchill Mine-Clearer(75mm & 2-pdr),rwm_british_churchill_mine,,540,2.31,0.9,8,1.4,10,#4f5a3e,tracked,79,67,55,3,1.5,0.9,5,1941,A22 Churchill Mine-Clearer(75mm & 2-pdr),cannon,direct,55,450,4.25,0.8,12,150,0
british_churchi,british,churchill4,vehicle,,A22 Churchill Mk.IV (6pdr OQF Mk.V L/50),rwm_british_churchi,,486,2.74,0.9,8,1.4,9,#4f5a3e,tracked,79,67,55,3,1.5,0.9,5,1941,A22 Churchill Mk.IV (6pdr OQF Mk.V L/50),cannon,direct,46,350,3.25,0.8,12,105,0
british_a30_challenger,british,challenger,vehicle,,A30 Challenger (77mm ROQF Mk.II),rwm_british_a30_challenger,,459,5.58,0.9,8,1.4,9,#4f5a3e,tracked,70,60,49,3,1.5,0.9,5,1940,A30 Challenger (77mm ROQF Mk.II),cannon,direct,67,450,5,0.8,12,180,0
british_comet,british,comet,vehicle,,A34 Comet (77mm ROQF Mk. II),rwm_british_comet,,540,5.58,0.9,8,1.4,10,#4f5a3e,tracked,160,136,112,3,1.5,0.9,5,1944,A34 Comet (77mm ROQF Mk. II),cannon,direct,64,450,4.5,0.8,12,180,0
british_bron2595_ho_gi,british,uk_a4,vehicle,,A4 Vickers Mk.VI B (Vickers HMG cal.50),rwm_british_bron2595_ho_gi,,72,6.6,0.9,8,1.4,2,#4f5a3e,tracked,20,17,14,3,1.5,0.9,3,1940,A4 Vickers Mk.VI B (Vickers HMG cal.50),cannon,direct,50,60,0.3,0.8,12,18,0
british_ach,british,achilles,vehicle,,Achilles IC (17-Pounder OQF Mk.V L/55),rwm_british_ach,,390,5.02,0.9,8,1.4,8,#4f5a3e,tracked,50,43,35,3,1.5,0.9,5,1940,Achilles IC (17-Pounder OQF Mk.V L/55),cannon,direct,67,450,5,0.8,12,180,0
british_petard,british,petard,vehicle,,Churchill Avre Petard (290mm Petard Mk.I),rwm_british_petard,,540,2.47,0.9,8,1.4,10,#4f5a3e,tracked,128,109,90,3,1.5,0.9,5,1941,Churchill Avre Petard (290mm Petard Mk.I),cannon,direct,33,450,6,0.8,12,180,0
british_cromwell,british,cromwell,vehicle,,"Cromwell IV (75mm OQF Mk.V L/36,5)",rwm_british_cromwell,,390,5.71,0.9,8,1.4,8,#4f5a3e,tracked,65,55,46,3,1.5,0.9,5,1944,"Cromwell IV (75mm OQF Mk.V L/36,5)",cannon,direct,58,450,4.25,0.8,12,150,0
british_cruzade,british,crusader_iii,vehicle,,Crusader MK III (A15) (ROQF 6-pounder),rwm_british_cruzade,,288,4.95,0.9,8,1.4,6,#4f5a3e,tracked,25,21,18,3,1.5,0.9,3,1940,Crusader MK III (A15) (ROQF 6-pounder),cannon,direct,46,400,3.25,0.8,12,120,0
british_matilda,british,matilda,vehicle,,MATILDA Mk II (2-pounder Mk IX),rwm_british_matilda,,390,2.81,0.9,8,1.4,8,#4f5a3e,tracked,160,136,112,3,1.5,0.9,4,1940,MATILDA Mk II (2-pounder Mk IX),cannon,direct,49,110,3.25,0.8,12,33,0
british_tetrarc,british,tetrarch,vehicle,,MK VII Tetrarch (2-pounder(40mm) QFSA),rwm_british_tetrarc,,120,7.26,0.9,14,1.4,3,#4f5a3e,tracked,14,12,10,3,1.5,0.9,3,1940,MK VII Tetrarch (2-pounder(40mm) QFSA),cannon,direct,52,110,3.5,0.8,12,33,0
british_firefly,british,firefly,vehicle,,Sherman VC Firefly (17-pounder Mk.IV),rwm_british_firefly,,420,4.95,0.9,8,1.4,8,#4f5a3e,tracked,50,43,35,3,1.5,0.9,4,1942,Sherman VC Firefly (17-pounder Mk.IV),cannon,direct,67,450,5,0.8,12,180,0
british_valenti,british,valentin,vehicle,,"Valentine MK XI (75mm OQF Mk.V L/36,5)",rwm_british_valenti,,300,2.81,0.9,8,1.4,6,#4f5a3e,tracked,65,55,46,3,1.5,0.9,4,1940,"Valentine MK XI (75mm OQF Mk.V L/36,5)",cannon,direct,57,450,4.25,0.8,12,150,0
french_47mm_tip_01,french,47mm_atg,support,,47mm Canon de 47 Antichar SA-L L/53,,,258,1.25,0.65,20,4,5,#6f8597,,40,34,28,,,,,1940,47mm Canon de 47 Antichar SA-L L/53,at,none,,,,,,,
french_rusaltan,french,f_crew,infantry,,"Equipage (Mas-38 7,65mm)",rwm_french_rusaltan,,30,1.65,0.5,18,8,2,#6f8597,,0,0,0,,,,,1939,"Equipage (Mas-38 7,65mm)",gun,direct,32,55,0.3,0.68,8,0,0
french_machgun,french,french_mg,support,,"Hotchkiss 1930 (13,2mm)",,,30,1.65,0.65,19,4,2,#6f8597,,0,0,0,,,,,1939,"Hotchkiss 1930 (13,2mm)",gun,none,,,,,,,
french_150mm_gaub_japan,french,75m_mmle,support,,Canon de 75 mle. 1897,,,270,0.6,0.65,20,4,6,#6f8597,,0,0,0,,,,,1939,Canon de 75 mle. 1897,mortar,none,,,,,,,
french_aofice,french,fofficer,infantry,,Capitaine (Saint-Etienne 7.65mm),rwm_french_aofice,,30,2.31,0.5,23,8,2,#6f8597,,0,0,0,,,,,1939,Capitaine (Saint-Etienne 7.65mm),rifle,direct,32,60,0.73,0.62,6,0,0
french_datg,french,f_at_gunner,infantry,,Chasseur de char (Swiss Oerlikon 20mm),rwm_french_datg,,30,1.49,0.5,20,8,2,#6f8597,,0,0,0,,,,,1939,Chasseur de char (Swiss Oerlikon 20mm),rifle,direct,48,120,5,0.62,6,0,0
french_a_2,french,f_rifleman,infantry,,"Fusilier (Mas-36 7,50mm)",rwm_french_a_2,,30,2.15,0.5,19,8,2,#6f8597,,0,0,0,,,,,1939,"Fusilier (Mas-36 7,50mm)",rifle,direct,43,100,3,0.62,6,0,0
french_japmed,french,f_medic,infantry,,"Infirmier (Mas-36 7,50mm)",rwm_french_japmed,,42,1.98,0.5,20,8,2,#6f8597,,0,0,0,,,,,1939,"Infirmier (Mas-36 7,50mm)",rifle,direct,45,100,3,0.62,6,0,0
french_a_4,french,f_flamer,infantry,,Lance-Flamme (Flamethrower M2-2),rwm_french_a_4,,45,1.98,0.5,20,8,2,#6f8597,,0,0,0,,,,,1939,Lance-Flamme (Flamethrower M2-2),rifle,direct,15,70,0.3,0.62,6,0,0
french_a_1,french,frenchsmg,infantry,,"Mitrailleur (Mas-38 7,65mm)",rwm_french_a_1,,30,1.98,0.5,20,8,2,#6f8597,,0,0,0,,,,,1939,"Mitrailleur (Mas-38 7,65mm)",rifle,direct,32,55,0.3,0.62,6,0,0
french_hmgunet,french,f_hmg,infantry,,"Mitrailleuse Lourde (Mac 24/29 7,50mm)",rwm_french_hmgunet,,36,1.98,0.5,20,8,2,#6f8597,,0,0,0,,,,,1939,"Mitrailleuse Lourde (Mac 24/29 7,50mm)",rifle,direct,49,55,0.3,0.62,6,0,0
french_jm,french,f_mortar,infantry,,Mortier (60mm),rwm_french_jm,,60,1.65,0.5,20,8,2,#6f8597,,0,0,0,,,,,1939,Mortier (60mm),rifle,indirect,73,40,3.75,0.62,6,0,3
french_asergeant,french,f_serg,infantry,,"sous-officier (Mas-38 7,65mm)",rwm_french_asergeant,,36,2.15,0.5,23,8,2,#6f8597,,0,0,0,,,,,1939,"sous-officier (Mas-38 7,65mm)",rifle,direct,32,40,0.3,0.62,6,0,0
french_amr35,french,amr_35_zt2_25mm_sa35,vehicle,,AMR-35 ZT2 (25mm SA35),rwm_french_amr35,,132,5.94,0.9,8,1.4,3,#6f8597,tracked,20,17,14,3,1.5,0.9,2,1940,AMR-35 ZT2 (25mm SA35),cannon,direct,48,75,0.3,0.8,12,23,0
french_ci_nu,french,ft_17_c,vehicle,,Char Leger FT-17 C (37mm SA18 L/21),rwm_french_ci_nu,,72,3.7,0.9,8,1.4,2,#6f8597,tracked,20,17,14,3,1.5,0.9,2,1940,Char Leger FT-17 C (37mm SA18 L/21),cannon,direct,52,110,2.2,0.8,12,33,0
french_c2,french,char_2c,vehicle,,"Char Lourd F.C.M.2C (75mm APX1897 L/36,3)",rwm_french_c2,,510,1.65,0.9,8,1.4,10,#6f8597,tracked,0,0,0,3,1.5,0.9,12,1940,"Char Lourd F.C.M.2C (75mm APX1897 L/36,3)",cannon,direct,53,450,4.25,0.8,12,144,0
